date,regime,strategy_return,baseline_equity,xgb_conf,xgb_trade,xgb_strategy_return,xgb_equity,lstm_conf,lstm_trade,lstm_strategy_return,lstm_equity,ema_spread,spot_return
2025-09-29,0,0.0008030923109995,1.0008030923109994,0.43061975,0,0.0,1.0,0.47080848,0.0,0.0,1.0,-128.5025475467046,-0.0008030923109995
2025-09-30,1,0.0009661090566636,1.0017699772424178,0.8135124,1,0.0009661090566636,1.0009661090566635,0.49215668,0.0,-0.0,1.0,-159.1454491897348,-0.0009661090566636
2025-10-01,0,-0.0091503427315318,0.9926034386124908,0.8450904,1,-0.0091503427315318,0.9918069260961472,0.500345,1.0,-0.01033622853036,0.98966377146964,-123.472748098593,0.0091503427315318
2025-10-03,1,-0.0023332783063501,0.9902874185423678,0.6785833,1,-0.0023332783063501,0.9894927645113992,0.50947976,1.0,-0.0048680296889229,0.9848460588480744,-85.44605795798634,0.0023332783063501
2025-10-06,0,-0.0073671630999125,0.9829918096141749,0.14434898,0,-0.0,0.9894927645113992,0.4689641,0.0,-0.0,0.9848460588480744,-21.49523629437681,0.0073671630999125
2025-10-07,1,-0.0012222038348888,0.9817903932548001,0.74995416,1,-0.0012222038348888,0.9882834026600187,0.46958894,0.0,-0.0,0.9848460588480744,23.09046118832339,0.0012222038348888
2025-10-08,0,0.0024752770996043,0.9842205965318352,0.5066048,1,0.0024752770996043,0.9907296779345421,0.47151047,0.0,-0.0,0.9848460588480744,35.18876550371715,-0.0024752770996043
2025-10-09,1,-0.0054160020601967,0.9788900557533309,0.82076764,1,-0.0054160020601967,0.9853638839577507,0.49319008,0.0,0.0,0.9848460588480744,69.04032779171393,0.0054160020601967
2025-10-10,0,-0.0041120968318388,0.9748647650563491,0.03077311,0,-0.0,0.9853638839577507,0.4948811,0.0,-0.0,0.9848460588480744,107.48330880171488,0.0041120968318388
2025-10-13,1,0.0022938183572701,0.9771009277502911,0.044734,0,0.0,0.9853638839577507,0.5129381,1.0,0.0011495780066663,0.9859782162172782,113.346576524149,-0.0022938183572701
2025-10-14,0,0.0032444945664129,0.9802711264012139,0.1858334,0,0.0,0.9853638839577507,0.50643665,1.0,-0.0045380587749941,0.9815037891212204,94.99195867372693,-0.0032444945664129
2025-10-15,1,-0.0070807898033444,0.9733300326048794,0.57619536,1,-0.0070807898033444,0.9783867294156388,0.49373713,0.0,0.0,0.9815037891212204,117.4208499829183,0.0070807898033444
2025-10-16,0,-0.01033622853036,0.9632694709524127,0.5955179,1,-0.01033622853036,0.9682739005893273,0.49124297,0.0,0.0,0.9815037891212204,180.1430844973147,0.01033622853036
2025-10-17,1,-0.0048680296889229,0.9585802465693833,0.04239879,0,-0.0,0.9682739005893273,0.49778777,0.0,-0.0,0.9815037891212204,235.17300944333329,0.0048680296889229
2025-10-20,0,-0.0051847832640019,0.9536102157497677,0.4918966,0,-0.0,0.9682739005893273,0.51582897,1.0,0.0064316170063286,0.9878164455831083,285.2457569350336,0.0051847832640019
2025-10-21,1,-0.0009847870712353,0.9526711127382994,0.064993374,0,-0.0,0.9682739005893273,0.51254594,1.0,0.0034358622764198,0.9912104468445145,307.8717030995613,0.0009847870712353
2025-10-23,0,-0.0008813774228215,0.9518314499281577,0.27642602,0,-0.0,0.9682739005893273,0.48492524,0.0,0.0,0.9912104468445145,312.9921840663992,0.0008813774228215
2025-10-24,1,0.0037174505820465,0.9553698363057034,0.3545593,0,0.0,0.9682739005893273,0.5059433,1.0,-0.0032186189555276,0.9880201181113838,282.88570696095485,-0.0037174505820465
2025-10-27,0,-0.0066252764570082,0.9490402470214915,0.47481468,0,-0.0,0.9682739005893273,0.47725204,0.0,-0.0,0.9880201181113838,289.14085752607207,0.0066252764570082
2025-10-28,1,0.0011495780066663,0.9501312428169086,0.47630098,0,0.0,0.9682739005893273,0.47779757,0.0,-0.0,0.9880201181113838,274.52340962546805,-0.0011495780066663
2025-10-29,0,-0.0045380587749941,0.9458194913930473,0.37489778,0,-0.0,0.9682739005893273,0.45297495,0.0,-0.0,0.9880201181113838,279.0789229490547,0.0045380587749941
