date,open_spot,high_spot,low_spot,close_spot,volume_spot,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,open_interest_ce,open_interest_pe,volume_ce,volume_pe,ema_5,ema_15,iv,T,atm_strike,call_delta,call_gamma,call_theta,call_vega,call_rho,put_delta,put_gamma,put_theta,put_vega,put_rho,avg_iv,iv_spread,pcr_oi,pcr_vol,futures_basis,spot_return,fut_return,delta_neutral_ratio,gamma_exposure
2025-01-15,23250.45,23293.65,23146.45,23213.2,228039156,23302.05,23345.0,23201.0,23265.9,143790,13536300,38377050,32751075,20294803,22384264,23188.433333333334,23180.693750000002,0.8783411579844506,0.0821917808219178,23200.0,0.5593735650021516,6.749196007069198e-05,-38.43489284991929,26.255100880015718,8.709731950907642,-0.44062643499784837,6.749196007069198e-05,-38.43489284991929,26.255100880015718,8.709731950907642,0.8783411579844506,0.0,0.853402619534331,1.1029554709153866,0.002270260024468868,0.0016029478707546563,-0.00025137774340122654,1.269496154956938,60125491.84726429
2025-01-16,23377.25,23391.65,23272.05,23311.8,299416081,23406.0,23423.9,23346.15,23377.55,171198,13500850,66049050,55946100,58463061,53871172,23229.55555555556,23197.08203125,0.8783411579844506,0.0821917808219178,23300.0,0.5592756533370333,6.720898441024342e-05,-38.59957804489685,26.367598303241653,8.74539781529192,-0.44072434666296667,6.720898441024342e-05,-38.59957804489685,26.367598303241653,8.74539781529192,0.8783411579844506,0.0,0.847038678073341,0.9214565758026252,0.0028204600245369297,0.004247583271586697,0.004798868730631511,1.2689919619183778,103483168.27898712
2025-01-17,23277.1,23292.1,23100.35,23203.2,272945267,23344.9,23353.8,23150.1,23267.2,218388,14032150,10140900,10690275,5982807,6929039,23220.770370370374,23197.84677734375,0.8783411579844506,0.0821917808219178,23200.0,0.5586984140312078,6.753820977318172e-05,-38.42810059497124,26.25046105079699,8.696853289226727,-0.4413015859687922,6.753820977318172e-05,-38.42810059497124,26.25046105079699,8.696853289226727,0.8783411579844506,0.0,1.0541741857231606,1.158158536620018,0.002758240242725141,-0.0046585849226571385,-0.0047203406687184035,1.2660240338921365,15891830.644882282
2025-01-20,23290.4,23391.1,23170.65,23344.75,301455455,23339.95,23449.0,23220.0,23400.2,163712,14133750,11247750,11048025,6300739,4503616,23262.09691358025,23216.209680175783,0.8783411579844506,0.0821917808219178,23350.0,0.5581298305487883,6.714290775962706e-05,-38.6707154880749,26.416192708181956,8.742171288907604,-0.4418701694512117,6.714290775962706e-05,-38.6707154880749,26.416192708181956,8.742171288907604,0.8783411579844506,0.0,0.9822431152897246,0.7147758381992969,0.002375266387517567,0.006100451661839701,0.005716201347820027,1.263108191353961,17630110.226726655
2025-01-21,23421.65,23426.3,22976.85,23024.65,312871897,23424.95,23460.65,23051.65,23103.2,388434,14572600,7323900,13144500,1691908,8349465,23182.947942386836,23192.26472015381,0.8783411579844506,0.0821917808219178,23000.0,0.5601604991884136,6.802424455942651e-05,-38.11126893816317,26.034031486547644,8.649536548174636,-0.4398395008115864,6.802424455942651e-05,-38.11126893816317,26.034031486547644,8.649536548174636,0.8783411579844506,0.0,1.7947405071068694,4.9349403159037015,0.003411561087790662,-0.013711862410177855,-0.01269219921197251,1.2735565999752463,11470944.286912594
2025-01-22,23099.15,23169.55,22981.3,23155.35,275951918,23164.0,23219.9,23020.0,23198.95,211777,14085325,23421225,21442425,19229513,14363099,23173.74862825789,23187.650380134583,0.8783411579844506,0.0821917808219178,23150.0,0.5588443908012783,6.767407432249883e-05,-38.34675609055427,26.19489414241918,8.680888141427344,-0.44115560919872165,6.767407432249883e-05,-38.34675609055427,26.19489414241918,8.680888141427344,0.8783411579844506,0.0,0.9155125319021529,0.74692994045143,0.0018829341815175408,0.005676524941747196,0.004144447522421046,1.2667738529185129,36701454.8518167
2025-01-23,23128.3,23270.8,23090.65,23205.35,275558357,23150.0,23319.85,23126.9,23263.7,161222,13637050,52808625,67065900,56133469,56714294,23184.282418838593,23189.86283261776,0.8783411579844506,0.0821917808219178,23200.0,0.5588436105072249,6.752827841826556e-05,-38.42957057186971,26.25146520064362,8.699622477408676,-0.44115638949277514,6.752827841826556e-05,-38.42957057186971,26.25146520064362,8.699622477408676,0.8783411579844506,0.0,1.2699800458731882,1.010347213709525,0.0025145063530609187,0.0021593281898135697,0.0027910745960484373,1.2667698435689938,82752030.84384565
2025-01-24,23183.9,23347.3,23050.0,23092.2,264336332,23275.1,23375.0,23071.45,23113.9,275484,13209950,12515675,13896125,10170472,19937665,23153.588279225733,23177.65497854054,0.8783411579844506,0.0821917808219178,23100.0,0.5579529324544487,6.7881664132231e-05,-38.254868058248675,26.132124888260723,8.645214328667715,-0.44204706754555134,6.7881664132231e-05,-38.254868058248675,26.132124888260723,8.645214328667715,0.8783411579844506,0.0,1.1102976867008771,1.9603480546428917,0.0009397112444895128,-0.004876030742910431,-0.006439216461697761,1.2622025422597192,19618783.197846945
2025-01-27,22940.15,23007.45,22786.9,22829.15,257372790,22972.0,23028.9,22809.0,22846.45,241956,11804150,8285350,8747425,11199633,16900830,23045.44218615049,23134.09185622297,0.8783411579844506,0.0821917808219178,22850.0,0.5570511831196462,6.868652235405235e-05,-37.831592143723796,25.84298262684409,8.534726395985034,-0.4429488168803538,6.868652235405235e-05,-37.831592143723796,25.84298262684409,8.534726395985034,0.8783411579844506,0.0,1.055770124376158,1.5090521269759465,0.0007578030719496465,-0.01139129229783209,-0.011570959465949104,1.2575971802857595,12991883.846327463
2025-01-28,22960.45,23137.95,22857.65,22957.25,361868609,22948.0,23158.45,22871.0,22977.7,323967,8969500,16445075,22048450,16468808,17478945,23016.044790766995,23111.9866241951,0.8783411579844506,0.0821917808219178,22950.0,0.558977238301661,6.825463360581902e-05,-38.01679266730772,25.969494191445413,8.608397857224364,-0.441022761698339,6.825463360581902e-05,-38.01679266730772,25.969494191445413,8.608397857224364,0.8783411579844506,0.0,1.340732711769329,1.0613363760145846,0.0008907861350989656,0.005611247024089661,0.005744875024347396,1.2674566640258882,25768424.233826067
